,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4458-0,,,,,,,,,,,,,,,-1,-1,1,-1,-1,1,2,1,1,-1
1,MX4604-0,-1,1,2,1,1,-1,2,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,-1
2,MX3651-0,1,-1,1,1,5,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1
3,MX4159-0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1
4,MX4365-0,-1,-1,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1
5,MX4458-1,,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,3,2,1,1,-1
6,MX4604-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,3,1,2,-1
7,MX4535-0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,2,-1,1,1,1,1,-1
8,MX3651-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,2,1,1,-1
9,MX4159-1,-1,3,1,1,5,1,1,1,1,1,1,1,1,1,-1,1,1,2,-1,2,2,1,1,-1
10,MX4365-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,3,3,1,1,-1
11,MX4604-2,-1,1,1,1,1,1,1,1,,,1,1,1,1,-1,1,1,1,-1,1,2,1,1,-1
12,MX4535-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,2,-1,4,1,1,1,-1
13,MX3651-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,2,-1,1,3,1,1,-1
14,MX4159-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,-1,2,2,1,1,-1
15,MX4365-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,4,-1,5,3,1,1,-1
16,MX4458-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,-1
17,MX4604-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,2,1,1,-1
18,MX4535-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,-1,2,1,1,1,-1
19,MX4041-0,,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1
20,MX3651-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,1,1,-1
21,MX4365-3,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,-1,3,1,2,1,-1
22,MX4458-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,-1
23,MX4604-4,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,3,1,1,-1
24,MX4535-3,,1,1,2,3,1,1,1,1,1,1,1,1,1,-1,1,-1,2,-1,1,-1,1,1,-1
25,MX4041-1,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,-1
26,MX3651-4,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1
27,MX4365-4,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,2,1,-1,1,-1,1,1,-1
28,MX4458-4,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,2,3,1,1,-1
29,MX4041-2,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,2,1,-1,2,-1,1,-1,-1
30,MX4458-5,-1,-1,1,,,,,,,,,,,,,,,,,,,,,
